,State,CountyName,Housing Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2017,CA,Los Angeles County,Data_5_bed,1086912.0833333333,1059597.3333333333,1138287.25,1456481.4166666667,1739219.9166666667,2048599.4166666667,2404596.8333333335,2644885.25,2864906.6666666665,2989655.3333333335,3076801.75
2018,RI,Providence County,Data_5_bed,235995.58333333334,224674.66666666666,208573.25,213317.66666666666,228336.33333333334,236112.5,247803.91666666666,265373.0833333333,290824.0833333333,306481.5833333333,324176.6666666667
2019,NY,Erie County,Data_5_bed,111542.75,110735.08333333333,107689.83333333333,110226.83333333333,115984.08333333333,119490.75,124811.5,133725.08333333334,143710.58333333334,154576.25,167750.16666666666
2020,CO,Jefferson County,Data_5_bed,330529.5,319236.5,325139.75,356479.6666666667,385153.0,425615.0,467824.9166666667,502952.5833333333,533667.4166666666,558522.25,579754.1666666666
2021,UT,Salt Lake County,Data_5_bed,294728.1666666667,272301.0833333333,279030.8333333333,310500.6666666667,324693.3333333333,340875.5,358652.5,391662.0833333333,421156.25,449057.4166666667,478891.1666666667
2022,NJ,Middlesex County,Data_5_bed,496500.9166666667,471461.3333333333,449297.9166666667,474115.6666666667,492926.9166666667,497518.5833333333,495259.4166666667,507894.0833333333,527407.0833333334,540174.1666666666,559755.25
2023,KY,Fayette County,Data_5_bed,380975.4166666667,365966.1666666667,358187.8333333333,369600.9166666667,369178.1666666667,375445.0833333333,382651.5,396844.5833333333,398739.4166666667,403172.5,416148.0
2024,IA,Johnson County,Data_5_bed,283871.4166666667,281259.6666666667,285650.9166666667,291595.25,297486.1666666667,310737.75,320299.25,330266.5833333333,340522.6666666667,347079.5,352766.6666666667
2025,VA,Prince William County,Data_5_bed,343932.3333333333,349339.5,363074.5833333333,400835.8333333333,420988.3333333333,407003.3333333333,414365.0,440385.0,443530.8333333333,459833.9166666667,486420.0833333333
2026,PA,York County,Data_5_bed,104885.0,89007.5,80145.41666666667,75205.08333333333,73999.5,70837.66666666667,70635.08333333333,72774.16666666667,73770.58333333333,77734.33333333333,84814.33333333333
2027,NV,Washoe County,Data_5_bed,321052.0,300096.9166666667,295271.4166666667,352518.0833333333,395550.0833333333,433032.5833333333,468929.9166666667,499150.0833333333,539091.25,560309.9166666666,581459.0
2028,NY,New York County,Data_5_bed,669990.25,704494.0833333334,710524.75,746269.5833333334,822594.9166666666,976972.25,1122041.0,1225033.9166666667,1297175.3333333333,1310266.25,1294754.0
2029,ID,Bonneville County,Data_5_bed,200281.0,179293.33333333334,170176.66666666666,182019.58333333334,184183.25,191713.33333333334,207516.16666666666,225162.25,244884.58333333334,272440.0,304428.1666666667
2030,HI,Honolulu County,Data_5_bed,872263.75,863433.5833333334,864117.3333333334,896638.6666666666,963429.8333333334,997653.75,1036246.8333333334,1110807.0833333333,1158422.9166666667,1149117.25,1153757.1666666667
2032,IL,Cook County,Data_5_bed,142513.66666666666,140564.16666666666,128780.25,119556.33333333333,128287.0,146437.41666666666,160838.91666666666,167403.66666666666,189630.0,209304.5,229442.16666666666
2033,CA,Los Angeles County,Data_5_bed,1123141.75,1136875.75,1155318.25,1342527.0833333333,1476657.4166666667,1625197.8333333333,1826244.9166666667,2013468.75,2256509.5,2415600.0,2584967.5833333335
2034,FL,Miami-Dade County,Data_5_bed,1295907.75,1291344.75,1390287.4166666667,1639828.75,1861414.0833333333,2009136.5833333333,2128802.1666666665,2207559.1666666665,2265758.25,2244713.9166666665,2192341.3333333335
2035,SC,York County,Data_5_bed,286805.25,278026.9166666667,272559.4166666667,275113.3333333333,291624.4166666667,299658.0,310018.9166666667,323993.8333333333,337482.75,365998.75,401068.6666666667
2036,MA,Middlesex County,Data_5_bed,1975338.8333333333,2003423.1666666667,2040077.5,2231087.75,2396189.0833333335,2552727.0833333335,2701433.6666666665,2940552.8333333335,3175728.5,3293485.3333333335,3449310.3333333335
2037,WA,Spokane County,Data_5_bed,234572.91666666666,218628.66666666666,215206.0,220031.58333333334,227149.16666666666,235563.25,254218.16666666666,272551.0833333333,300609.25,331911.0833333333,367933.75
2038,CA,Los Angeles County,Data_5_bed,655607.0,631761.8333333334,621297.9166666666,698813.3333333334,734668.8333333334,755155.3333333334,785155.0,831613.75,877621.5,894781.6666666666,960634.75
2039,CA,Sonoma County,Data_5_bed,806490.75,754017.8333333334,743063.0,849254.25,961950.0,1027066.5,1082233.3333333333,1139225.25,1292745.5833333333,1279061.0,1284677.0833333333
2040,NV,Clark County,Data_5_bed,333194.3333333333,307352.8333333333,300882.8333333333,359912.5,404711.0,419873.75,434823.4166666667,457191.0,499541.6666666667,508871.5,525790.1666666666
2041,WA,Yakima County,Data_5_bed,320437.0833333333,291801.0,303214.0,307017.5833333333,305148.8333333333,317201.0833333333,331253.4166666667,350172.25,380579.0833333333,403641.0833333333,435440.4166666667
2042,IN,Allen County,Data_5_bed,192873.08333333334,189915.33333333334,190146.41666666666,195138.66666666666,200384.0,205687.66666666666,211029.41666666666,223901.08333333334,235171.66666666666,249028.83333333334,267446.5833333333
2043,MI,Ingham County,Data_5_bed,190308.66666666666,180973.33333333334,181353.58333333334,192422.16666666666,193608.75,201876.58333333334,215046.5,215989.5,223393.25,230231.33333333334,244096.08333333334
2044,MD,Prince Georges County,Data_5_bed,187008.16666666666,174779.16666666666,168671.0,177840.16666666666,199396.33333333334,214505.08333333334,232146.25,239920.33333333334,257559.33333333334,271529.0,290912.6666666667
2045,AZ,Pinal County,Data_5_bed,159517.33333333334,140596.5,153430.75,184865.33333333334,200522.75,207122.41666666666,221418.41666666666,233053.0,253644.58333333334,271348.5,295029.8333333333
2046,CA,Imperial County,Data_5_bed,250113.16666666666,237865.0,225963.75,238504.83333333334,274130.1666666667,308447.1666666667,312325.0833333333,323268.9166666667,336282.75,339980.25,367749.4166666667
2047,CA,San Francisco County,Data_5_bed,1034543.6666666666,945665.5833333334,976303.25,1131710.1666666667,1304673.8333333333,1473635.0833333333,1558234.4166666667,1679063.5833333333,1869417.6666666667,1904353.5833333333,1958010.5
2048,NC,Iredell County,Data_5_bed,293586.75,279482.8333333333,266329.9166666667,280321.25,280442.0,289327.5833333333,292182.4166666667,305643.5,303203.6666666667,312378.5833333333,323778.8333333333
2049,TX,Travis County,Data_5_bed,240794.75,231143.0,246127.91666666666,285025.4166666667,324708.5833333333,370020.1666666667,409975.8333333333,428071.0,447164.5,467079.6666666667,507576.0833333333
2050,TX,Harris County,Data_5_bed,794723.8333333334,799453.3333333334,849982.5,954232.6666666666,1086335.0,1213840.4166666667,1216686.4166666667,1216474.0833333333,1231136.6666666667,1243192.4166666667,1239161.8333333333
2051,LA,Jefferson Parish,Data_5_bed,349020.5,348635.0833333333,340167.0833333333,346641.4166666667,340170.0,338950.0833333333,338915.25,347333.3333333333,351477.6666666667,360409.5,373914.75
2052,FL,Pinellas County,Data_5_bed,401599.25,372845.9166666667,388987.3333333333,441784.0833333333,465452.4166666667,493684.9166666667,529185.0833333334,562285.3333333334,596759.0,617215.5,641143.5
2053,GA,Bibb County,Data_5_bed,340932.0833333333,322887.75,313959.6666666667,327487.4166666667,347158.0,361873.25,361633.0833333333,367173.3333333333,379773.4166666667,389856.25,401462.5
2054,WI,Milwaukee County,Data_5_bed,165715.5,148320.08333333334,140601.91666666666,139267.83333333334,143681.66666666666,145091.25,152242.16666666666,159315.0,171492.0,178784.5,191287.66666666666
2055,NJ,Middlesex County,Data_5_bed,389883.5833333333,359950.0,337404.3333333333,340917.9166666667,358072.75,360311.1666666667,361223.9166666667,379169.0833333333,399123.8333333333,413385.1666666667,437829.5
2056,NC,Mecklenburg County,Data_5_bed,247643.75,222917.66666666666,219928.66666666666,230034.0,251033.08333333334,260683.25,273096.1666666667,292378.9166666667,307740.5833333333,322241.8333333333,341870.5
2057,CA,Fresno County,Data_5_bed,443411.75,403676.6666666667,420652.4166666667,464874.0,497566.9166666667,507641.5833333333,525767.1666666666,554848.1666666666,582821.75,603147.1666666666,631000.5833333334
2058,FL,Miami-Dade County,Data_5_bed,306436.5,291997.0,302568.0833333333,336901.8333333333,370747.0,383648.0833333333,413324.8333333333,432437.6666666667,450833.9166666667,462981.5833333333,485137.75
2059,OH,Cuyahoga County,Data_5_bed,404071.5833333333,395544.5833333333,393763.75,416856.0833333333,415080.0,444841.3333333333,449484.1666666667,472733.4166666667,490924.25,487676.1666666667,511745.3333333333
2060,NY,Orange County,Data_5_bed,389306.5833333333,359273.75,353993.9166666667,371366.75,380768.5,388701.5,383743.1666666667,424538.0,467213.1666666667,502205.4166666667,544556.0
2061,MO,Jasper County,Data_5_bed,150717.58333333334,157652.5,161764.25,173763.0,180338.58333333334,195205.5,197633.41666666666,202718.16666666666,212907.75,219691.66666666666,236320.75
2062,WA,Snohomish County,Data_5_bed,443769.9166666667,403475.0833333333,403160.0,461878.9166666667,495175.9166666667,531878.3333333334,590904.25,659004.1666666666,726382.5833333334,743864.1666666666,797204.6666666666
2063,UT,Salt Lake County,Data_5_bed,239499.66666666666,218240.66666666666,218672.83333333334,249936.33333333334,261919.66666666666,278119.3333333333,294747.3333333333,324372.9166666667,348460.25,371270.0,400359.25
2064,CT,Hartford County,Data_5_bed,305308.25,280374.6666666667,254440.83333333334,241944.33333333334,245201.25,255047.08333333334,266425.5,278001.0,280019.6666666667,281181.5833333333,295975.5833333333
