Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-4131,Disaster,7/25/13,MN,Morrison County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Pope County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Sibley County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Stearns County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Stevens County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Swift County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Traverse County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Wilkin County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Bois Forte Nett Lake Indian Reservation,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Prairie Island Community Indian Reservation,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Red Lake Indian Reservation,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Beltrami County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Blue Earth County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Brown County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Carver County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Chippewa County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Dodge County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Faribault County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Freeborn County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Hennepin County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Jackson County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Koochiching County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Lac qui Parle County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Lake of the Woods County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Le Sueur County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Lyon County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,McLeod County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Marshall County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Martin County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Murray County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Nicollet County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
DR-4182,Disaster,7/21/14,MN,Nobles County,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",6/11/14,7/11/14,No,No,Yes,Yes
